titles,authors,years,ncitedby,linkfiles
Towards a realtime Twitter analysis during crises for operational crisis management,"T Terpstra, R Stronkman, A de Vries, GL Paradies",2012,246,https://www.hkv.nl/wp-content/uploads/2020/07/Towards_a_realtime_twitter_analysis_ISCRAM2012_TT.pdf
Stock prediction using twitter sentiment analysis,"A Mittal, A Goel",2012,402,http://cs229.stanford.edu/proj2011/GoelMittal-StockMarketPredictionUsingTwitterSentimentAnalysis.pdf
Recurrent patterns of user behavior in different electoral campaigns: a twitter analysis of the Spanish general elections of 2015 and 2016,"S Martín-Gutiérrez, JC Losada, RM Benito",2018,16,https://downloads.hindawi.com/journals/complexity/2018/2413481.pdf
Bharat towards Atmanirbharta: A Twitter based analysis using NVIVO,"R Sharma, S Gupta",2021,8,https://www.amity.edu/gwalior/jccc/pdf/jun_07.pdf
The role of emotional stability in Twitter conversations,"F Celli, L Rossi",2012,76,https://aclanthology.org/W12-0602.pdf
An arabic twitter corpus for subjectivity and sentiment analysis.,"E Refaee, V Rieser",2014,198,https://www.academia.edu/download/78306247/317_Paper.pdf
Political tendency identification in twitter using sentiment analysis techniques,"F Pla, LF Hurtado",2014,86,https://aclanthology.org/C14-1019.pdf
Semeval-2015 task 10: Sentiment analysis in twitter,"S Rosenthal, P Nakov, S Kiritchenko…",2015,455,https://aclanthology.org/S15-2078.pdf
A novel classification approach based on Naïve Bayes for Twitter sentiment analysis,"J Song, KT Kim, B Lee, S Kim…",2017,64,https://www.koreascience.or.kr/article/JAKO201721948859783.pdf
Twitter sentiment analysis using combined LSTM-CNN models,PM Sosa,2017,76,https://www.academia.edu/download/55829451/sosa_sentiment_analysis.pdf
Recommending#-tags in twitter,"E Zangerle, W Gassler, G Specht",2011,154,https://evazangerle.at/publication/zangerle-sasweb-2011/zangerle-sasweb-2011.pdf
Improving sentiment analysis in twitter using multilingual machine translated data,"A Balahur, M Turchi",2013,60,https://aclanthology.org/R13-1007.pdf
A large scale analysis of hundreds of in-memory cache clusters at Twitter,"J Yang, Y Yue, KV Rashmi",2020,107,https://www.usenix.org/system/files/osdi20-yang.pdf
SSA-UO: unsupervised Twitter sentiment analysis,"R Ortega, A Fonseca, A Montoyo",2013,73,https://www.academia.edu/download/34115113/S13-2083.pdf
NILC_USP: A hybrid system for sentiment analysis in twitter messages,"P Balage Filho, T Pardo",2013,48,https://aclanthology.org/S13-2095.pdf
Entity based sentiment analysis on twitter,"S Batra, D Rao",2010,51,http://www-nlp.stanford.edu/courses/cs224n/2010/reports/drao-sidbatra.pdf
Sentiment analysis of twitter feeds for the prediction of stock market movement,"R Chen, M Lazer",2013,81,http://cs229.stanford.edu/proj2011/ChenLazer-SentimentAnalysisOfTwitterFeedsForThePredictionOfStockMarketMovement.pdf
Demographic breakdown of twitter users: An analysis based on names,"H Oktay, A Firat, Z Ertem",2014,43,https://www.researchgate.net/profile/Aykut-Firat-2/publication/315538705_Demographic_Breakdown_of_Twitter_Users_An_analysis_based_on_names/links/58d3db78a6fdccd24d460fda/Demographic-Breakdown-of-Twitter-Users-An-analysis-based-on-names.pdf
An analysis of public perception on Artificial Intelligence (AI) education using Big Data: Based on News articles and Twitter,"SS Lee, I Yoo, J Kim",2020,11,https://www.koreascience.or.kr/article/JAKO202018853211488.pdf
Large scale homophily analysis in twitter using a twixonomy,"S Faralli, G Stilo, P Velardi",2015,35,https://www.researchgate.net/profile/Giovanni-Stilo/publication/308418561_Large_Scale_Homophily_Analysis_in_Twitter_Using_a_Twixonomy/links/57e3fe7208ae25aa0208d7b6/Large-Scale-Homophily-Analysis-in-Twitter-Using-a-Twixonomy.pdf
A hybrid approach for twitter sentiment analysis,"N Mittal, B Agarwal, S Agarwal, S Agarwal…",2013,27,http://ltrc.iiit.ac.in/icon/2013/proceedings/File27-paper58.PDF
Semeval-2015 task 11: Sentiment analysis of figurative language in twitter,"A Ghosh, G Li, T Veale, P Rosso…",2015,258,https://aclanthology.org/S15-2080.pdf
Twitter content classification,S Dann,2010,204,https://openresearch-repository.anu.edu.au/bitstream/1885/36006/4/02_Dann_Twitter_content__2010.pdf
Are deep learning methods better for twitter sentiment analysis,"Y Lu, K Sakamoto, H Shibuki, T Mori",2017,18,https://anlp.jp/proceedings/annual_meeting/2017/pdf_dir/C5-1.pdf
Gplsi: Supervised sentiment analysis in twitter using skipgrams,"J Fernández, Y Gutiérrez, JM Gómez…",2014,33,https://aclanthology.org/S14-2048.pdf
A Sentiment-Based Approach to Twitter User Recommendation.,"DF Gurini, F Gasparetti, A Micarelli…",2013,70,https://ls13-www.cs.tu-dortmund.de/homepage/rsweb2013/papers/Gurini.pdf
"Sentiment analysis on monolingual, multilingual and code-switching twitter corpora","D Vilares, MA Alonso…",2015,61,https://aclanthology.org/W15-2902.pdf
Hate speech annotation: Analysis of an italian twitter corpus,"F Poletto, M Stranisci, M Sanguinetti, V Patti…",2017,68,https://iris.unito.it/bitstream/2318/1659197/1/paper024.pdf
Multilanguage sentiment-analysis of Twitter data on the example of Swiss politicians,L Brönnimann,2013,19,http://www.twitterpolitiker.ch/data/Paper_Swiss_Politicians_On_Twitter.pdf
Detecting Events and Sentiment on Twitter for Improving Urban Mobility.,"A Candelieri, F Archetti",2015,14,http://ceur-ws.org/Vol-1351/paper9.pdf
Codex: Combining an svm classifier and character n-gram language models for sentiment analysis on twitter text,"Q Han, J Guo, H Schuetze",2013,30,https://aclanthology.org/S13-2086.pdf
Ensemble classifier for twitter sentiment analysis,E Martınez-Cámara…,2015,18,http://wordpress.let.vupr.nl/nlpapplications/files/2015/06/WNACP-2015_submission_6.pdf
Gti: An unsupervised approach for sentiment analysis in twitter,"M Fernández-Gavilanes, T Alvarez-López…",2015,22,https://aclanthology.org/S15-2089.pdf
Mining sentiments from tweets,"A Bakliwal, P Arora, S Madhappan…",2012,133,https://aclanthology.org/W12-3704.pdf
